Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
244625634,"Study of Cave Diving Accidents: Accident analysis, human Factors, and safety lessons from technical and cave diving worldwide",Michel Ribera,"Ribera, Michel","Phil Short, Pascal Bernabé","=""""","=""9798276808406""",3.0,Independently published,Paperback,244,2025,,2026/03/07,2026/03/07,,,read,,,,1,0
17899948,Rebecca,Daphne du Maurier,"Maurier, Daphne du",,"=""0316323705""","=""9780316323703""",0,"Little, Brown and Company",Kindle Edition,449,2013,1938,,2026/06/04,to-read,to-read (#433),to-read,,,,0,0
207627291,Juice,Tim Winton,"Winton, Tim",,"=""1035050838""","=""9781035050833""",3.0,Picador,Kindle Edition,529,2024,2024,2026/06/04,2026/06/04,,,read,,,,1,0
31242976,The Essays of Warren Buffett: Lessons for Corporate America,Warren Buffett,"Buffett, Warren",,"=""1611637597""","=""9781611637595""",0,Carolina Academic Press,Kindle Edition,383,2015,1998,,2017/01/12,currently-reading,currently-reading (#4),currently-reading,,,,1,0
27234355,In Praise of Idleness,Bertrand Russell,"Russell, Bertrand",,"=""""","=""""",5.0,Lulu.com,Kindle Edition,14,2015,1932,2016/01/01,2016/05/10,,,read,,,,1,0
524293,The Cave Divers,Robert F. Burgess,"Burgess, Robert F.",,"=""1881652114""","=""9781881652113""",4.0,UNKNO,Paperback,352,1999,1976,2026/03/28,2026/03/27,,,read,,,,1,0
23995249,The Invention of Nature: Alexander von Humboldt's New World,Andrea Wulf,"Wulf, Andrea",,"=""038535066X""","=""9780385350662""",0,Knopf,Hardcover,473,2015,2015,,2026/03/22,to-read,to-read (#432),to-read,,,,0,0
239784369,Technically Speaking: Talks on Technical Diving Volume 2: Foundations and Strategies,Simon Pridmore,"Pridmore, Simon",,"=""""","=""9798296112521""",3.0,Independently published,Paperback,244,2025,,2026/03/19,2026/03/19,,,read,,,,1,0
122996121,Technically Speaking: Talks on Technical Diving Volume 1: Genesis and Exodus,Simon Pridmore,"Pridmore, Simon",,"=""""","=""9798375190792""",3.0,Independently published,Paperback,346,2023,,2026/03/13,2026/03/07,,,read,,,,1,0
54831529,With the Falling of the Dusk,Stan Grant,"Grant, Stan",,"=""146075803X""","=""9781460758038""",0,HarperCollins - AU,Paperback,304,2021,,,2021/09/06,did-not-finish,did-not-finish (#4),did-not-finish,,,,0,0
