,id,book,rating,started_at,read_at,date_added,date_updated,url,title,author_1_id,author_1_name,dt_updated,dt_started_at,dt_read_at,dt_added,html_link
0,3434948772,"OrderedDict([('id', OrderedDict([('@type', 'integer'), ('#text', '32595035')])), ('isbn', '1474600042'), ('isbn13', '9781474600040'), ('text_reviews_count', OrderedDict([('@type', 'integer'), ('#text', '17')])), ('uri', 'kca://book/amzn1.gr.book.v1.pT8U80AoRYVn5k5h20vuOQ'), ('title', 'We Only Saw Happiness'), ('title_without_series', 'We Only Saw Happiness'), ('image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476266549l/32595035._SX98_.jpg'), ('small_image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476266549l/32595035._SY75_.jpg'), ('large_image_url', None), ('link', 'https://www.goodreads.com/book/show/32595035-we-only-saw-happiness'), ('num_pages', '320'), ('format', 'Hardcover'), ('edition_information', None), ('publisher', 'Weidenfeld & Nicholson'), ('publication_day', '29'), ('publication_year', '2016'), ('publication_month', '12'), ('average_rating', '3.64'), ('ratings_count', '771'), ('description', ""'We looked like the perfect young family, something out of a magazine, in shades of marshmallow pink...'<br /> A photograph. The father smiling beside his new car, the mother pregnant and radiant, the little girl placing cuddly toys in the cot for her new baby brother. All we see is the happiness.<br /> 'We don't see my mother. We don't see the lies.'<br /> But behind every picture there is a story. And behind that story, there are others.<br /> Every family has its secrets.<br /> When Antoine was young, he believed in love at first sight. He finds the woman of his dreams, Nathalie, and has two children. But when Antoine's life implodes, he does something unspeakable.<br /> Antoine's journey to come to terms with what he has done will take him across seas and continents, deep into his own heart and the hearts of others.<br /> Because in order to find true happiness, you have to know where to look...""), ('authors', OrderedDict([('author', OrderedDict([('id', '5416412'), ('name', 'Grégoire Delacourt'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1374772295p5/5416412.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1374772295p2/5416412.jpg')])), ('link', 'https://www.goodreads.com/author/show/5416412.Gr_goire_Delacourt'), ('average_rating', '3.55'), ('ratings_count', '13872'), ('text_reviews_count', '2127')]))])), ('published', '2016'), ('work', OrderedDict([('id', '42573935'), ('uri', 'kca://work/amzn1.gr.work.v1.IsjqYt9xlzObwwGlZBGiIw')]))])",3,,,Thu Jul 09 18:56:51 -0700 2020,Thu Jul 09 18:58:12 -0700 2020,https://www.goodreads.com/review/show/3434948772,We Only Saw Happiness,5416412,Grégoire Delacourt,2020-07-09,2020-05-01,2020-05-01,2020-07-09,<tr><td><a href='https://www.goodreads.com/review/show/3434948772'>We Only Saw Happiness</a></td></tr>
1,3421994091,"OrderedDict([('id', OrderedDict([('@type', 'integer'), ('#text', '17250')])), ('isbn', '0142437336'), ('isbn13', '9780142437339'), ('text_reviews_count', OrderedDict([('@type', 'integer'), ('#text', '6216')])), ('uri', 'kca://book/amzn1.gr.book.v1.4QGkL9_VomC7Ay9rPVfpFw'), ('title', 'The Crucible'), ('title_without_series', 'The Crucible'), ('image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547467608l/17250._SX98_.jpg'), ('small_image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547467608l/17250._SX50_.jpg'), ('large_image_url', None), ('link', 'https://www.goodreads.com/book/show/17250.The_Crucible'), ('num_pages', '143'), ('format', 'Paperback'), ('edition_information', 'Penguin Classics (US/CAN)'), ('publisher', 'Penguin Books'), ('publication_day', '25'), ('publication_year', '2003'), ('publication_month', '3'), ('average_rating', '3.58'), ('ratings_count', '316505'), ('description', '""I believe that the reader will discover here the essential nature of one of the strangest and most awful chapters in human history,"" Arthur Miller wrote of his classic play about the witch-hunts and trials in seventeenth-century Salem, Massachusetts. Based on historical people and real events, Miller\'s drama is a searing portrait of a community engulfed by hysteria. In the rigid theocracy of Salem, rumors that women are practicing witchcraft galvanize the town\'s most basic fears and suspicions; and when a young girl accuses Elizabeth Proctor of being a witch, self-righteous church leaders and townspeople insist that Elizabeth be brought to trial. The ruthlessness of the prosecutors and the eagerness of neighbor to testify against neighbor brilliantly illuminates the destructive power of socially sanctioned violence.<br /><br />Written in 1953, <i>The Crucible</i> is a mirror Miller uses to reflect the anti-communist hysteria inspired by Senator Joseph McCarthy\'s ""witch-hunts"" in the United States. Within the text itself, Miller contemplates the parallels, writing, ""Political opposition... is given an inhumane overlay, which then justifies the abrogation of all normally applied customs of civilized behavior. A political policy is equated with moral right, and opposition to it with diabolical malevolence.""<br /><br />WIth an introduction by Christopher Bigsby.<br />(back cover)'), ('authors', OrderedDict([('author', OrderedDict([('id', '8120'), ('name', 'Arthur  Miller'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1201186455p5/8120.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1201186455p2/8120.jpg')])), ('link', 'https://www.goodreads.com/author/show/8120.Arthur_Miller'), ('average_rating', '3.59'), ('ratings_count', '549409'), ('text_reviews_count', '14922')]))])), ('published', '2003'), ('work', OrderedDict([('id', '1426723'), ('uri', 'kca://work/amzn1.gr.work.v1.Jaxd0bIoSWAN9rx4HzDwjQ')]))])",2,,,Thu Jul 02 03:49:21 -0700 2020,Thu Jul 02 03:49:21 -0700 2020,https://www.goodreads.com/review/show/3421994091,The Crucible,8120,Arthur  Miller,2020-07-02,2020-05-01,2020-05-01,2020-07-02,<tr><td><a href='https://www.goodreads.com/review/show/3421994091'>The Crucible</a></td></tr>
2,3419660163,"OrderedDict([('id', OrderedDict([('@type', 'integer'), ('#text', '886785')])), ('isbn', '0714833568'), ('isbn13', '9780714833569'), ('text_reviews_count', OrderedDict([('@type', 'integer'), ('#text', '21')])), ('uri', 'kca://book/amzn1.gr.book.v1.rAxLhrIuurET1Dbx2hMPoA'), ('title', 'Modern Architecture Since 1900'), ('title_without_series', 'Modern Architecture Since 1900'), ('image_url', 'https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png'), ('small_image_url', 'https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png'), ('large_image_url', None), ('link', 'https://www.goodreads.com/book/show/886785.Modern_Architecture_Since_1900'), ('num_pages', '736'), ('format', 'Paperback'), ('edition_information', None), ('publisher', 'Phaidon Press'), ('publication_day', '27'), ('publication_year', '1996'), ('publication_month', '6'), ('average_rating', '4.09'), ('ratings_count', '1049'), ('description', 'Since its first publication in 1982, <i>Modern Architecture Since 1900</i> has become established as a contemporary classic. Worldwide in scope, it combines a clear historical outline with masterly analysis and interpretation. Technical, economic, social and intellectual developments are brought together in a comprehensive narrative which provides a setting for the detailed examination of buildings. Throughout the book the author\'s focus is on the individual architect, and on the qualities that give outstanding buildings their lasting value.<br /><br />For the third edition, the text has been radically revised and expanded, incorporating much new material and a fresh appreciation of regional identity and variety. Seven chapters are entirely new, including expanded coverage of recent world architecture.<br /><br />Described by James Ackerman of Harvard University as ""immeasurably the finest work covering this field in existence"", this book presents a penetrating analysis of the modern tradition and its origins, tracing the creative interaction between old and new that has generated such an astonishing richness of architectural forms across the world and throughout the century.'), ('authors', OrderedDict([('author', OrderedDict([('id', '3976667'), ('name', 'William J.R. Curtis'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1380554725p5/3976667.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1380554725p2/3976667.jpg')])), ('link', 'https://www.goodreads.com/author/show/3976667.William_J_R_Curtis'), ('average_rating', '4.07'), ('ratings_count', '1125'), ('text_reviews_count', '23')]))])), ('published', '1996'), ('work', OrderedDict([('id', '872044'), ('uri', 'kca://work/amzn1.gr.work.v1.ZSoJ4MCRLdTd6Th4yZ0n6g')]))])",5,,,Tue Jun 30 18:14:03 -0700 2020,Thu Jul 09 18:59:08 -0700 2020,https://www.goodreads.com/review/show/3419660163,Modern Architecture Since 1900,3976667,William J.R. Curtis,2020-07-09,2020-05-01,2020-05-01,2020-06-30,<tr><td><a href='https://www.goodreads.com/review/show/3419660163'>Modern Architecture Since 1900</a></td></tr>
3,3418334543,"OrderedDict([('id', OrderedDict([('@type', 'integer'), ('#text', '11012')])), ('isbn', '0192839993'), ('isbn13', '9780192839992'), ('text_reviews_count', OrderedDict([('@type', 'integer'), ('#text', '3401')])), ('uri', 'kca://book/amzn1.gr.book.v1.KblRjbRdBwFtFzWvuWDuhw'), ('title', 'Dubliners'), ('title_without_series', 'Dubliners'), ('image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334138184l/11012._SX98_.jpg'), ('small_image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334138184l/11012._SX50_.jpg'), ('large_image_url', None), ('link', 'https://www.goodreads.com/book/show/11012.Dubliners'), ('num_pages', '207'), ('format', 'Paperback'), ('edition_information', ""Oxford World's Classics""), ('publisher', 'Oxford University Press'), ('publication_day', '15'), ('publication_year', '2001'), ('publication_month', '3'), ('average_rating', '3.85'), ('ratings_count', '120407'), ('description', 'This work of art reflects life in Ireland at the turn of the last century, and by rejecting euphemism, reveals to the Irish their unromantic realities. Each of the 15 stories offers glimpses into the lives of ordinary Dubliners, and collectively they paint a portrait of a nation.'), ('authors', OrderedDict([('author', OrderedDict([('id', '5144'), ('name', 'James Joyce'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1517863935p5/5144.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1517863935p2/5144.jpg')])), ('link', 'https://www.goodreads.com/author/show/5144.James_Joyce'), ('average_rating', '3.74'), ('ratings_count', '412226'), ('text_reviews_count', '21213')]))])), ('published', '2001'), ('work', OrderedDict([('id', '260248'), ('uri', 'kca://work/amzn1.gr.work.v1.0VPHnf0j0ZK6NC33OETGgQ')]))])",2,,,Tue Jun 30 03:34:08 -0700 2020,Thu Jul 09 19:00:03 -0700 2020,https://www.goodreads.com/review/show/3418334543,Dubliners,5144,James Joyce,2020-07-09,2020-05-01,2020-05-01,2020-06-30,<tr><td><a href='https://www.goodreads.com/review/show/3418334543'>Dubliners</a></td></tr>
4,3418332960,"OrderedDict([('id', OrderedDict([('@type', 'integer'), ('#text', '100915')])), ('isbn', OrderedDict([('@nil', 'true')])), ('isbn13', OrderedDict([('@nil', 'true')])), ('text_reviews_count', OrderedDict([('@type', 'integer'), ('#text', '15517')])), ('uri', 'kca://book/amzn1.gr.book.v1.bTpunK9LhLneojBwpPB9iQ'), ('title', 'The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)'), ('title_without_series', 'The Lion, the Witch and the Wardrobe'), ('image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353029077l/100915._SX98_.jpg'), ('small_image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353029077l/100915._SY75_.jpg'), ('large_image_url', None), ('link', 'https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe'), ('num_pages', '206'), ('format', 'Paperback'), ('edition_information', 'Film Tie-in Edition (US/CAN)'), ('publisher', 'HarperCollins Publishers'), ('publication_day', None), ('publication_year', '2005'), ('publication_month', None), ('average_rating', '4.22'), ('ratings_count', '2072320'), ('description', ""Narnia...the land beyond the wardrobe door, a secret place frozen in eternal winter, a magical country waiting to be set free.<br /><br />Lucy is the first to find the secret of the wardrobe in the professor's mysterious old house. At first her brothers and sister don't believe her when she tells of her visit to the land of Narnia. But soon Edmund, then Peter and Susan step through the wardrobe themselves. In Narnia they find a country buried under the evil enchantment of the White Witch. When they meet the Lion Aslan, they realize they've been called to a great adventure and bravely join the battle to free Narnia from the Witch's sinister spell.""), ('authors', OrderedDict([('author', OrderedDict([('id', '1069006'), ('name', 'C.S. Lewis'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1564671804p5/1069006.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1564671804p2/1069006.jpg')])), ('link', 'https://www.goodreads.com/author/show/1069006.C_S_Lewis'), ('average_rating', '4.15'), ('ratings_count', '5721938'), ('text_reviews_count', '132881')]))])), ('published', '2005'), ('work', OrderedDict([('id', '4790821'), ('uri', 'kca://work/amzn1.gr.work.v1.rqpJlzO5rS559vW35rJa1w')]))])",4,,,Tue Jun 30 03:32:24 -0700 2020,Tue Jun 30 03:32:30 -0700 2020,https://www.goodreads.com/review/show/3418332960,"The Lion, the Witch and the Wardrobe",1069006,C.S. Lewis,2020-06-30,2020-05-01,2020-05-01,2020-06-30,"<tr><td><a href='https://www.goodreads.com/review/show/3418332960'>The Lion, the Witch and the Wardrobe</a></td></tr>"
5,3418332650,"OrderedDict([('id', OrderedDict([('@type', 'integer'), ('#text', '48855')])), ('isbn', OrderedDict([('@nil', 'true')])), ('isbn13', OrderedDict([('@nil', 'true')])), ('text_reviews_count', OrderedDict([('@type', 'integer'), ('#text', '22011')])), ('uri', 'kca://book/amzn1.gr.book.v1.NpJw6QbRgLr9alsXArRByw'), ('title', 'The Diary of a Young Girl'), ('title_without_series', 'The Diary of a Young Girl'), ('image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560816565l/48855._SY160_.jpg'), ('small_image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560816565l/48855._SY75_.jpg'), ('large_image_url', None), ('link', 'https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl'), ('num_pages', '283'), ('format', 'Mass Market Paperback'), ('edition_information', 'US / CAN Edition'), ('publisher', 'Bantam'), ('publication_day', None), ('publication_year', '1993'), ('publication_month', '7'), ('average_rating', '4.15'), ('ratings_count', '2657793'), ('description', 'Discovered in the attic in which she spent the last years of her life, Anne Frank’s remarkable diary has become a world classic—a powerful reminder of the horrors of war and an eloquent testament to the human spirit. <br /><br />In 1942, with the Nazis occupying Holland, a thirteen-year-old Jewish girl and her family fled their home in Amsterdam and went into hiding. For the next two years, until their whereabouts were betrayed to the Gestapo, the Franks and another family lived cloistered in the “Secret Annexe” of an old office building. Cut off from the outside world, they faced hunger, boredom, the constant cruelties of living in confined quarters, and the ever-present threat of discovery and death. In her diary Anne Frank recorded vivid impressions of her experiences during this period. By turns thoughtful, moving, and surprisingly humorous, her account offers a fascinating commentary on human courage and frailty and a compelling self-portrait of a sensitive and spirited young woman whose promise was tragically cut short.<br />--back cover'), ('authors', OrderedDict([('author', OrderedDict([('id', '3720'), ('name', 'Anne Frank'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1343271406p5/3720.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1343271406p2/3720.jpg')])), ('link', 'https://www.goodreads.com/author/show/3720.Anne_Frank'), ('average_rating', '4.15'), ('ratings_count', '2710315'), ('text_reviews_count', '29630')]))])), ('published', '1993'), ('work', OrderedDict([('id', '3532896'), ('uri', 'kca://work/amzn1.gr.work.v1.Hn8z2cQc--WW1zAa5fCZ8Q')]))])",4,,,Tue Jun 30 03:32:03 -0700 2020,Tue Jun 30 03:32:12 -0700 2020,https://www.goodreads.com/review/show/3418332650,The Diary of a Young Girl,3720,Anne Frank,2020-06-30,2020-05-01,2020-05-01,2020-06-30,<tr><td><a href='https://www.goodreads.com/review/show/3418332650'>The Diary of a Young Girl</a></td></tr>
6,3418332252,"OrderedDict([('id', OrderedDict([('@type', 'integer'), ('#text', '23418')])), ('isbn', '0375424431'), ('isbn13', '9780375424434'), ('text_reviews_count', OrderedDict([('@type', 'integer'), ('#text', '568')])), ('uri', 'kca://book/amzn1.gr.book.v1.4Xb6Kyv3wTW1yf-CyMYZww'), ('title', 'The Architecture of Happiness'), ('title_without_series', 'The Architecture of Happiness'), ('image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320402527l/23418._SX98_.jpg'), ('small_image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320402527l/23418._SX50_.jpg'), ('large_image_url', None), ('link', 'https://www.goodreads.com/book/show/23418.The_Architecture_of_Happiness'), ('num_pages', '280'), ('format', 'Hardcover'), ('edition_information', None), ('publisher', 'Pantheon Books'), ('publication_day', '3'), ('publication_year', '2006'), ('publication_month', '10'), ('average_rating', '3.86'), ('ratings_count', '9431'), ('description', ""One of the great but often unmentioned causes of both happiness and misery is the quality of our environment: the kinds of walls, chairs, buildings and streets that surround us.<br /><br />And yet a concern for architecture and design is too often described as frivolous, even self-indulgent. <i>The Architecture of Happiness</i> starts from the idea that where we are heavily influences who we can be, and it argues that it is architecture's task to stand as an eloquent reminder of our full potential.<br /><br />Whereas many architects are wary of openly discussing the word beauty, this book has at its center the large and naÃ¯ve question: What is a beautiful building? It is a tour through the philosophy and psychology of architecture that aims to change the way we think about our homes, our streets and ourselves.""), ('authors', OrderedDict([('author', OrderedDict([('id', '13199'), ('name', 'Alain de Botton'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1189753902p5/13199.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1189753902p2/13199.jpg')])), ('link', 'https://www.goodreads.com/author/show/13199.Alain_de_Botton'), ('average_rating', '3.88'), ('ratings_count', '155626'), ('text_reviews_count', '14763')]))])), ('published', '2006'), ('work', OrderedDict([('id', '14280280'), ('uri', 'kca://work/amzn1.gr.work.v1.rEzwDi9RY4yEBtT22gamiw')]))])",3,Tue Jun 30 03:31:37 -0700 2020,Wed Jul 01 05:00:12 -0700 2020,Tue Jun 30 03:31:37 -0700 2020,Wed Jul 01 05:00:12 -0700 2020,https://www.goodreads.com/review/show/3418332252,The Architecture of Happiness,13199,Alain de Botton,2020-07-01,2020-06-30,2020-07-01,2020-06-30,<tr><td><a href='https://www.goodreads.com/review/show/3418332252'>The Architecture of Happiness</a></td></tr>
7,3407753666,"OrderedDict([('id', OrderedDict([('@type', 'integer'), ('#text', '65118')])), ('isbn', '1405206128'), ('isbn13', '9781405206129'), ('text_reviews_count', OrderedDict([('@type', 'integer'), ('#text', '1628')])), ('uri', 'kca://book/amzn1.gr.book.v1.N-akGxhuwZFzm7LbrmJFRA'), ('title', 'The Hostile Hospital (A Series of Unfortunate Events, #8)'), ('title_without_series', 'The Hostile Hospital'), ('image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442446120l/65118._SX98_.jpg'), ('small_image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442446120l/65118._SX50_.jpg'), ('large_image_url', None), ('link', 'https://www.goodreads.com/book/show/65118.The_Hostile_Hospital'), ('num_pages', '272'), ('format', 'Hardcover'), ('edition_information', None), ('publisher', 'Egmont'), ('publication_day', '10'), ('publication_year', '2003'), ('publication_month', '5'), ('average_rating', '3.98'), ('ratings_count', '95277'), ('description', 'There is nothing to be found in the pages of these books but misery and despair. You still have time to choose something else to read. But if you must know what unpleasantries befall the charming and clever Baudelaire children read on...The Hostile Hospital - There are many pleasant things to read about, but this book contains none of them. Within its pages are such burdensome details as a suspicious shopkeeper, unnecessary surgery, heartshaped balloons, and some very starling news about a fire. Clearly you do not want to read about such things.'), ('authors', OrderedDict([('author', OrderedDict([('id', '36746'), ('name', 'Lemony Snicket'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1199734355p5/36746.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1199734355p2/36746.jpg')])), ('link', 'https://www.goodreads.com/author/show/36746.Lemony_Snicket'), ('average_rating', '3.97'), ('ratings_count', '1952111'), ('text_reviews_count', '71693')]))])), ('published', '2003'), ('work', OrderedDict([('id', '2361348'), ('uri', 'kca://work/amzn1.gr.work.v1.ZpzpFRdXjTgW8J55PN2lTA')]))])",4,,,Tue Jun 23 17:35:01 -0700 2020,Thu Jul 09 19:09:27 -0700 2020,https://www.goodreads.com/review/show/3407753666,The Hostile Hospital,36746,Lemony Snicket,2020-07-09,2020-05-01,2020-05-01,2020-06-23,<tr><td><a href='https://www.goodreads.com/review/show/3407753666'>The Hostile Hospital</a></td></tr>
8,3407753194,"OrderedDict([('id', OrderedDict([('@type', 'integer'), ('#text', '65112')])), ('isbn', '0064410161'), ('isbn13', '9780064410168'), ('text_reviews_count', OrderedDict([('@type', 'integer'), ('#text', '3895')])), ('uri', 'kca://book/amzn1.gr.book.v1.o5jBgMg8ttG282oaM2iIDQ'), ('title', 'The End (A Series of Unfortunate Events, #13)'), ('title_without_series', 'The End'), ('image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524761836l/65112._SX98_.jpg'), ('small_image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524761836l/65112._SX50_.jpg'), ('large_image_url', None), ('link', 'https://www.goodreads.com/book/show/65112.The_End'), ('num_pages', '337'), ('format', 'Hardcover'), ('edition_information', None), ('publisher', 'HarperCollins Publishers'), ('publication_day', '13'), ('publication_year', '2006'), ('publication_month', '10'), ('average_rating', '4.01'), ('ratings_count', '86698'), ('description', ""The last volume of the fabulously popular A Series of Unfortunate Events series, in which the history of the Baudelaire orphans is brought to its end.<br /><br />You are presumably looking at the back of this book, or the end of the end. The end of the end is the best place to begin the end, because if you read the end from the beginning of the beginning of the end to the end of the end of the end, you will arrive at the end of the end of your rope. <br /><br />This book is the last in A Series of Unfortunate Events, and even if you braved the previous twelve volumes, you probably can't stand such unpleasantries as a fearsome storm, a suspicious beverage, a herd of wild sheep, an enormous bird cage, and a truly haunting secret about the Baudelaire parents. <br /><br />It has been my solemn occupation to complete the history of the Baudelaire orphans, and at last I am finished. You likely have some other occupation, so if I were you I would drop this book at once, so the end does not finish you. <br /><br />With all due respect, <br /><br />Lemony Snicket""), ('authors', OrderedDict([('author', OrderedDict([('id', '36746'), ('name', 'Lemony Snicket'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1199734355p5/36746.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1199734355p2/36746.jpg')])), ('link', 'https://www.goodreads.com/author/show/36746.Lemony_Snicket'), ('average_rating', '3.97'), ('ratings_count', '1952111'), ('text_reviews_count', '71693')]))])), ('published', '2006'), ('work', OrderedDict([('id', '838691'), ('uri', 'kca://work/amzn1.gr.work.v1.OqpRj6gIRLqzkyybvvAbRQ')]))])",4,,,Tue Jun 23 17:34:42 -0700 2020,Thu Jul 09 19:10:23 -0700 2020,https://www.goodreads.com/review/show/3407753194,The End,36746,Lemony Snicket,2020-07-09,2020-05-01,2020-05-01,2020-06-23,<tr><td><a href='https://www.goodreads.com/review/show/3407753194'>The End</a></td></tr>
9,3407753027,"OrderedDict([('id', OrderedDict([('@type', 'integer'), ('#text', '65110')])), ('isbn', '0064410153'), ('isbn13', '9780064410151'), ('text_reviews_count', OrderedDict([('@type', 'integer'), ('#text', '2018')])), ('uri', 'kca://book/amzn1.gr.book.v1.sKBvH0WXYsoxUb8stGauIw'), ('title', 'The Penultimate Peril (A Series of Unfortunate Events, #12)'), ('title_without_series', 'The Penultimate Peril'), ('image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524161970l/65110._SX98_.jpg'), ('small_image_url', 'https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524161970l/65110._SX50_.jpg'), ('large_image_url', None), ('link', 'https://www.goodreads.com/book/show/65110.The_Penultimate_Peril'), ('num_pages', '353'), ('format', 'Hardcover'), ('edition_information', None), ('publisher', 'HarperCollins Publishers'), ('publication_day', '18'), ('publication_year', '2005'), ('publication_month', '10'), ('average_rating', '4.06'), ('ratings_count', '86906'), ('description', '<p>\n  <i>Dear Reader,</i>\n</p><p>If this is the first book you found while searching for a book to read next, then the first thing you should know is that this next-to-last book is what you should put down first. Sadly, this book presents the next-to-last chronicle of the lives of the Baudelaire orphans, and it is next-to-first in its supply of misery, despair, and unpleasantness.</p><p>Probably the next-to-last thing you would like to read about are a harpoon gun, a rooftop sunbathing alon, two mysterious initials, three unidentified triplets, a notorious villain, and an unsavory curry.</p><p>Next-to-last things are the first thing to be avoided, and so allow me to recommend that you put this next-to-last book down first, and find something else to read next at last, such a s the next-to-last book in another chronicle, or a chronicle containing other next-to-last things, so that this next-to-last book does not become the last book you will read.</p><p>\n  <i>With all due respect,</i>\n</p><p>Lemony Snicket</p>'), ('authors', OrderedDict([('author', OrderedDict([('id', '36746'), ('name', 'Lemony Snicket'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1199734355p5/36746.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1199734355p2/36746.jpg')])), ('link', 'https://www.goodreads.com/author/show/36746.Lemony_Snicket'), ('average_rating', '3.97'), ('ratings_count', '1952111'), ('text_reviews_count', '71693')]))])), ('published', '2005'), ('work', OrderedDict([('id', '838097'), ('uri', 'kca://work/amzn1.gr.work.v1.3aEI3fpcHODxBn9RwdHPqQ')]))])",5,,,Tue Jun 23 17:34:34 -0700 2020,Thu Jul 09 19:09:10 -0700 2020,https://www.goodreads.com/review/show/3407753027,The Penultimate Peril,36746,Lemony Snicket,2020-07-09,2020-05-01,2020-05-01,2020-06-23,<tr><td><a href='https://www.goodreads.com/review/show/3407753027'>The Penultimate Peril</a></td></tr>
